thread_id,thread_text,time,cleaned,tweetnlp_topic
p501084926,"My coworker had a mental breakdown yesterday at work and was fired. Her husband had to come pick up her stuff today because she was forcibly removed from the building.My roommate is basically catatonic now. He used to be a fun loving metalhead type guy that played Warhammer, he has since sold his all his models, sold his guitar, and only works and comes home and watches vtubers in his dark room. I barely even SEE him anymore and we live in a 2 bedroom apartment.I go outside all I see are ugly, mishaped, brown faces. And they all look miserable.I try to invite friends and coworkers out to do something, Anything. They almost always say no. Too tired. Too broke. Too sad.Our slavery is being smashed in our faces on an unprecedented scale. These kikes at the top aren't just greedy, this is full on satanic sadism. It doesn't even make sense to beat down the slaves this hard, it makes them unproductive",03/21/25(Fri)10:25:45No.501084926,coworker mental breakdown yesterday work fired  husband come pick stuff today forcibly removed building roommate basically catatonic  used fun loving metalhead type guy played warhammer  since sold models  sold guitar  works comes home watches vtubers dark room  barely even see anymore live  bedroom apartment go outside see ugly  mishaped  brown faces  look miserable try invite friends coworkers something  anything  almost always say  tired  broke  sad slavery smashed faces unprecedented scale  kikes top greedy  full satanic sadism  even make sense beat slaves hard  makes unproductive,['diaries_&_daily_life']
p501080179,Who convinced the majority that shitalians are white? They’re literally brown semitic tomatokikes,03/21/25(Fri)09:05:38No.501080179,convinced majority shitalians white  they’re literally brown semitic tomatokikes,['news_&_social_concern']
p501100875,"PRESIDENT DONALD J TRUMP @POTUS45https://www.donaldjtrump.com/https://www.thetrumparchive.com/https://x.com/realDonaldTrumphttps://truthsocial.com/@realDonaldTrumphttps://rumble.com/c/DonaldTrumphttps://www.tiktok.com/@realdonaldtrump>President Trump Officehttps://www.whitehouse.gov/https://www.youtube.com/user/whitehousehttps://www.flickr.com/photos/whitehouse/>Liz Harrington (Trump Spox) https://twitter.com/realLizUSA>Donald J Trump Presidential Libraryhttps://www.trumplibrary.gov/@realDonaldTrump @TeamTrump @TrumpWarRoom>b-but Trump hasnt done anything!ARCHIVED LINKS https://pastebin.com/eAhgNyeXNEW APPEARANCES>Pres Trump at Friends of Ireland Luncheon, Washington, DC 3/12/2025https://youtu.be/bKW1VniMRm0[Embed]>Pres Trump Bilateral Meeting with Irish Taoiseach Micheal Martin, Washington, DC 3/12/2025https://youtu.be/EwNFmsO_5xs[Embed]>Pres Trump Remarks at the Digital Assets Summit, Washington, DC 3/7/2025https://youtu.be/omP3GPxaVog[Embed]>Pres Trump Address to Congress, Washington, DC 3/4/2025https://youtu.be/XkFKNkAEzQ8[Embed]>VP JD Vance Delivers Remarks at the National Catholic Prayer Breakfast, Washington, DC 2/28/2025https://youtu.be/dCY0b1wWX9A[Embed]>Pres Trump Press Conference with UK PM Keir Starmer, Washington, DC 2/27/2025https://youtu.be/dJSaNSSj_4c[Embed]>Pres Trump Cabinet Meeting, Washington, DC 2/26/2025https://youtu.be/OMpL4Hze__4[Embed]>Pres Trump Press Conference with Emmanuel Macron, Washington, DC 2/24/2025https://youtu.be/F_icClkj0Eo[Embed]>Pres Trump at CPAC, Washington, DC 2/22/2025https://rumble.com/v6o31mi-full-speech-president-donald-j.-trump-headlines-cpac-2025-22225.html (RSBN)>Pres Trump at Governors Working Session, Washington, DC 2/22/2025https://youtu.be/4iyqZsE9bkA[Embed]>TrumpVideo: WE WILL WIN 6/19/23https://rumble.com/v2v6m2a>MAKE AMERICA GREAT AGAIN, AGAIN! 10/28/21https://rumble.com/voe8gm>God Bless the USA (Donald J Trump) 10/20/16https://youtu.be/O_PC_fy0fk0[Embed]OP pastebin: http://pastebin.com/X4KiALfhprev>>501093155 →",03/21/25(Fri)14:05:55No.501100875,president donald j trump  potushttps www donaldjtrump com https www thetrumparchive com https x com realdonaldtrumphttps truthsocial com realdonaldtrumphttps rumble com c donaldtrumphttps www tiktok com realdonaldtrump president trump officehttps www whitehouse gov https www youtube com user whitehousehttps www flickr com photos whitehouse liz harrington  trump spox  https twitter com reallizusa donald j trump presidential libraryhttps www trumplibrary gov realdonaldtrump  teamtrump  trumpwarroom b trump hasnt done anything archived links https pastebin com eahgnyexnew appearances pres trump friends ireland luncheon  washington  dc   https youtu bkwvnimrm embed pres trump bilateral meeting irish taoiseach micheal martin  washington  dc   https youtu ewnfmso xs embed pres trump remarks digital assets summit  washington  dc   https youtu ompgpxavog embed pres trump address congress  washington  dc   https youtu xkfknkaezq embed vp jd vance delivers remarks national catholic prayer breakfast  washington  dc   https youtu dcybwwxa embed pres trump press conference uk pm keir starmer  washington  dc   https youtu djsanssj c embed pres trump cabinet meeting  washington  dc   https youtu omplhze  embed pres trump press conference emmanuel macron  washington  dc   https youtu f icclkjeo embed pres trump cpac  washington  dc   https rumble com vomi full speech president donald j trump headlines cpac   html  rsbn pres trump governors working session  washington  dc   https youtu iyqzsebka embed trumpvideo  win   https rumble com vvma make america great     https rumble com voegm god bless usa  donald j trump    https youtu pc fyfk embed op pastebin  http pastebin com xkialfhprev  →,['news_&_social_concern']
p501104470,"Really?, look at it!!You are telling me that somebody bought this fucking shit?? Get the fuck out of here!!!",03/21/25(Fri)14:51:32No.501104470,really  look telling somebody bought fucking shit  get fuck ,['diaries_&_daily_life']
p501099465,NEW PROPAGANDA JUST DROPPED: https://youtu.be/WQYGcBcEcEU[Embed],03/21/25(Fri)13:47:09No.501099465,new propaganda dropped  https youtu wqygcbceceu embed ,['news_&_social_concern']
p501094596,">Heathrow to resume some flights and hopes to run full operation tomorrowhttps://www.bbc.co.uk/news/live/cly24zvvwxlt>Putin would breach Ukraine deal if it is not defended, says PMhttps://www.bbc.co.uk/news/articles/cwyd0v3344qo>Government borrowing higher than expected in Februaryhttps://www.bbc.co.uk/news/articles/c0jglw54yvyo>Badenoch warns Tories of difficult local electionshttps://www.bbc.co.uk/news/articles/cvg5dpl1j4zo>Uber offers 20 hours of free childcare in bid to lure female drivershttps://www.bbc.co.uk/news/articles/cgm1pmdlvx8o",03/21/25(Fri)12:41:36No.501094596, heathrow resume flights hopes run full operation tomorrowhttps www bbc co uk news live clyzvvwxlt putin would breach ukraine deal defended  says pmhttps www bbc co uk news articles cwydvqo government borrowing higher expected februaryhttps www bbc co uk news articles cjglwyvyo badenoch warns tories difficult local electionshttps www bbc co uk news articles cvgdpljzo uber offers  hours free childcare bid lure female drivershttps www bbc co uk news articles cgmpmdlvxo,"['business_&_entrepreneurs', 'news_&_social_concern']"
p501106184,They don’t have enough votes to impeach them but California Rep. Darrell Issa’s No Rogue Rulings Act will be on the floor in early April. Also going to cut funding to federal courts and even break up system of lower courts and strip district judges from being allows to put nation wide injunctions. Dems might try to filibuster it but going to have to go on record and can easily be used as attacks when they are up for reelection,03/21/25(Fri)15:13:25No.501106184,don’t enough votes impeach california rep  darrell issa’s rogue rulings act floor early april  also going cut funding federal courts even break system lower courts strip district judges allows put nation wide injunctions  dems might try filibuster going go record easily used attacks reelection,['news_&_social_concern']
p501098176,"Previous:>>501085852 →Day: 1122 — Daily battlefield assessment:https://isw.pub/UkraineConflictUpdatesISW▶Latest>Russian gas pipeline exploded in Sudzha shortly after the chimpout at Odesa, Kropotkinskaya oil pumping station continues to burn>Russians chimped out at Odesa, numerous arrivals>Engels Airbase hit by Ukraine, KH missile storage exploded>Trump claimed a ceasefire on infrastructure, Russia attacked infrastructure 2hrs later, Ukraine responds striking more refineries.>Gazprom reported losses of 1.078 trillion rubles ($12.7 billion at the current exchange rate) in 2024.>Macron: Europe is preparing for the ""day after"" in Ukraine. France & the UK are finalizing a plan to deploy ""a few thousand troops per nation"" in key areas like Kyiv, Odesa & Lviv for training & long-term support.>A Putin and Trump meeting is being prepared, says Putin's assistant Ushakov>Ukraine will not lift martial law or hold elections if a 30-day truce is declared, says advisor to the head of the Office of the President of Ukraine Mykhailo Podolyak>The EU recommends member states to voluntarily contribute €20-40B in military aid to Ukraine this year, creating a special fund.>A massive drone attack on Russia’s Tuapse happened overnight. Over 10 explosions were heard at the local Tuapse oil refinery>AFU have officially withdrawn from most of the Kursk SMO zone>The French Parliament has called for the seizure of frozen Russian assets to aid Ukraine▶Telegramhttps://rentry.org/telosint2023https://t.me/ukr_pics▶Intelhttps://t.me/DeepStateENhttps://odin.tradoc.army.mil/WEG (equipmentexplorer)https://ukr.warspotting.net (visually confirmed losses)▶Mapshttps://deepstatemap.live/enhttps://liveuamap.com/en▶DISPOSABLE SOLDIER (diary of a RU mobik)TOUR 1: files.catbox.moe/34fuhc.txtTOUR 2: files.catbox.moe/uj2wut.txtTOUR 3: files.catbox.moe/hmyd98.txtTOUR 4: files.catbox.moe/cdenxe.txt",03/21/25(Fri)13:29:43No.501098176,previous  →day   — daily battlefield assessment https isw pub ukraineconflictupdatesisw▶latest russian gas pipeline exploded sudzha shortly chimpout odesa  kropotkinskaya oil pumping station continues burn russians chimped odesa  numerous arrivals engels airbase hit ukraine  kh missile storage exploded trump claimed ceasefire infrastructure  russia attacked infrastructure hrs later  ukraine responds striking refineries gazprom reported losses   trillion rubles    billion current exchange rate   macron  europe preparing  day  ukraine  france   uk finalizing plan deploy  thousand troops per nation  key areas like kyiv  odesa   lviv training   long term support putin trump meeting prepared  says putin assistant ushakov ukraine lift martial law hold elections  day truce declared  says advisor head office president ukraine mykhailo podolyak eu recommends member states voluntarily contribute € b military aid ukraine year  creating special fund massive drone attack russia’s tuapse happened overnight   explosions heard local tuapse oil refinery afu officially withdrawn kursk smo zone french parliament called seizure frozen russian assets aid ukraine▶telegramhttps rentry org telosinthttps ukr pics▶intelhttps deepstateenhttps odin tradoc army mil weg  equipmentexplorer https ukr warspotting net  visually confirmed losses ▶mapshttps deepstatemap live enhttps liveuamap com en▶disposable soldier  diary ru mobik tour   files catbox moe fuhc txttour   files catbox moe ujwut txttour   files catbox moe hmyd txttour   files catbox moe cdenxe txt,['news_&_social_concern']
p501096816,Realistically what do I do? Even if I pay $1000 a month it will take me 68 months + daily compounded interest,03/21/25(Fri)13:11:22No.501096816,realistically  even pay   month take  months   daily compounded interest,['business_&_entrepreneurs']
p501103284,WELCOME COMAC,03/21/25(Fri)14:36:54No.501103284,welcome comac,['diaries_&_daily_life']
p501086999,Would you buy a beautiful Tesla car to support Elon Musk?,03/21/25(Fri)10:56:53No.501086999,would buy beautiful tesla car support elon musk ,"['business_&_entrepreneurs', 'science_&_technology']"
p501102661,"Yes, we need to convince our leftists here to leave to europe, make all 50 states red, europe would love them",03/21/25(Fri)14:28:43No.501102661,yes  need convince leftists leave europe  make  states red  europe would love,['news_&_social_concern']
p501102264,Why would the government hide UFOs? Who cares if aliens visited,03/21/25(Fri)14:23:30No.501102264,would government hide ufos  cares aliens visited,['news_&_social_concern']
p501105773,"this 'log is unironically better than yours, 4cuck.",03/21/25(Fri)15:07:48No.501105773, log unironically better  cuck ,['diaries_&_daily_life']
p501095545,Have you thanked a leftist today for saving the country?,03/21/25(Fri)12:54:09No.501095545,thanked leftist today saving country ,['news_&_social_concern']
p501089389,">‘The View’ Whoopi Goldberg has a MELTDOWN and says she is “enraged” by Donald Trump saying that “There is a definite anti-White feeling in the country”>“Yeah, Sir. Nobody in your family was hung. Nobody in your family was chased because of the color of their skin. How dare you? There’s no anti-white issue here. You are perpetrating anti-humanist issues here”https://youtube.com/shorts/pu_uzPQgBaY?si=ijPsAGO98TINSBG6",03/21/25(Fri)11:31:43No.501089389, ‘the view’ whoopi goldberg meltdown says “enraged” donald trump saying “there definite anti white feeling country” “yeah  sir  nobody family hung  nobody family chased color skin  dare  there’s anti white issue  perpetrating anti humanist issues here”https youtube com shorts pu uzpqgbay si ijpsagotinsbg,['news_&_social_concern']
p501106448,"For non-americans, would you like to have Donald Trump as your president? And yes, Elon Musk would tag along.",03/21/25(Fri)15:16:47No.501106448,non americans  would like donald trump president  yes  elon musk would tag along ,['news_&_social_concern']
p501096641,Why don't women and niggers ever try to use DEI to get jobs like this?,03/21/25(Fri)13:09:05No.501096641,women niggers ever try use dei get jobs like ,"['diaries_&_daily_life', 'news_&_social_concern']"
p501103083,The orange retard gets rebuffed by the superior man,03/21/25(Fri)14:34:27No.501103083,orange retard gets rebuffed superior man,['diaries_&_daily_life']
p501106669,Why are Europeans refusing to fight?:/,03/21/25(Fri)15:19:50No.501106669,europeans refusing fight ,['news_&_social_concern']
p501076978,"GO WOKE, GO BR...",03/21/25(Fri)08:05:40No.501076978,go woke  go br ,['news_&_social_concern']
p501106017,"Happening! British glowniggers caught in Propaganda against US .>USAID Censorship Scheme Exposed; Global Engagement Center Worked With UK Government And Media Firms To Deploy AI Toolshttps://www.zerohedge.com/political/usaid-censorship-scheme-exposed-global-engagement-center-worked-uk-government-and-media>On Thursday, America First Legal (AFL) released explosive new documents obtained through ongoing litigation against the U.S. Department of State’s Global Engagement Center (GEC),> exposing a vast, government-backed censorship operation to silence Americans> under the guise of “misinformation,” “disinformation,” and “malinformation.”>The documents reveal a disturbing alliance between the GEC, the U.S. Agency for International Development (USAID),>the British Foreign, Commonwealth, Development Office (FCDO)",03/21/25(Fri)15:11:03No.501106017,happening  british glowniggers caught propaganda us  usaid censorship scheme exposed  global engagement center worked uk government media firms deploy ai toolshttps www zerohedge com political usaid censorship scheme exposed global engagement center worked uk government media thursday  america first legal  afl  released explosive new documents obtained ongoing litigation u  department state’s global engagement center  gec  exposing vast  government backed censorship operation silence americans  guise “misinformation ” “disinformation ” “malinformation ” documents reveal disturbing alliance gec  u  agency international development  usaid british foreign  commonwealth  development office  fcdo ,['news_&_social_concern']
p501101876,why work in a cubicle if russia will kill us soon,03/21/25(Fri)14:18:28No.501101876,work cubicle russia kill us soon,"['diaries_&_daily_life', 'news_&_social_concern']"
p501096641,Why don't women and niggers ever try to use DEI to get jobs like this?,03/21/25(Fri)13:09:05No.501096641,women niggers ever try use dei get jobs like ,"['diaries_&_daily_life', 'news_&_social_concern']"
p501101820,>White-East Asian interbreeding le bad in principle because it just is okay.,03/21/25(Fri)14:17:48No.501101820, white east asian interbreeding le bad principle okay ,['news_&_social_concern']
p501096289,Poilievre is afraid...he has no policy. The conservatives have no policy; they look at the opinion polls and then try to softball pander to the polls instead of having real plans and real leadership. Poilievre caved on the vax tyranny. Poilievre is sucking Hindu ass for votes...Poilievre has never been anything more than a politician. He's never worked in the free enterprise sector...https://www.youtube.com/watch?v=Kwg3BIwpZLE[Embed],03/21/25(Fri)13:04:16No.501096289,poilievre afraid policy  conservatives policy  look opinion polls try softball pander polls instead real plans real leadership  poilievre caved vax tyranny  poilievre sucking hindu ass votes poilievre never anything politician  never worked free enterprise sector https www youtube com watch v kwgbiwpzle embed ,['news_&_social_concern']
p501101640,,03/21/25(Fri)14:15:39No.501101640,,
p501104766,They're afraid of fairy tales.,03/21/25(Fri)14:55:11No.501104766,afraid fairy tales ,['arts_&_culture']
p501103284,WELCOME COMAC,03/21/25(Fri)14:36:54No.501103284,welcome comac,['diaries_&_daily_life']
p501089839,"Sorry Britbros, but coffee is so much more delicious than tea. I'm on my 10th cup for the day. Black, of course. No sugar. The only way to drink coffee.",03/21/25(Fri)11:37:42No.501089839,sorry britbros  coffee much delicious tea  th cup day  black  course  sugar  way drink coffee ,"['diaries_&_daily_life', 'food_&_dining']"
p501103732,Wikipedia refuses to recognize English as the official US Language,03/21/25(Fri)14:42:17No.501103732,wikipedia refuses recognize english official us language,['science_&_technology']
p501099640,America was not founded by these subhuman pagans. They don't belong here. Post jeet memes.,03/21/25(Fri)13:49:40No.501099640,america founded subhuman pagans  belong  post jeet memes ,['news_&_social_concern']
p501102729,">Trump is 'open to the idea' of selling F-35 jets to Turkey if the Russia-made S-400 system is made inoperable through partially disassembling, sources tell Fox Newsallahu akbar we will blow up greece with our new stealth jets. thank you orange man.",03/21/25(Fri)14:29:37No.501102729, trump  open idea  selling f  jets turkey russia made  system made inoperable partially disassembling  sources tell fox newsallahu akbar blow greece new stealth jets  thank orange man ,"['news_&_social_concern', 'science_&_technology']"
p501101876,why work in a cubicle if russia will kill us soon,03/21/25(Fri)14:18:28No.501101876,work cubicle russia kill us soon,"['diaries_&_daily_life', 'news_&_social_concern']"
p501096289,Poilievre is afraid...he has no policy. The conservatives have no policy; they look at the opinion polls and then try to softball pander to the polls instead of having real plans and real leadership. Poilievre caved on the vax tyranny. Poilievre is sucking Hindu ass for votes...Poilievre has never been anything more than a politician. He's never worked in the free enterprise sector...https://www.youtube.com/watch?v=Kwg3BIwpZLE[Embed],03/21/25(Fri)13:04:16No.501096289,poilievre afraid policy  conservatives policy  look opinion polls try softball pander polls instead real plans real leadership  poilievre caved vax tyranny  poilievre sucking hindu ass votes poilievre never anything politician  never worked free enterprise sector https www youtube com watch v kwgbiwpzle embed ,['news_&_social_concern']
p501099362,notice something,03/21/25(Fri)13:45:26No.501099362,notice something,['diaries_&_daily_life']
p501101001,"the stock market is going down, tesla is deading, the maga leaders and running from the town halls, and judges are fucking over trump on every levelhttps://www.youtube.com/watch?v=H6XAwrnWADw&t=2425s[Embed]",03/21/25(Fri)14:07:25No.501101001,stock market going  tesla deading  maga leaders running town halls  judges fucking trump every levelhttps www youtube com watch v hxawrnwadw embed ,['news_&_social_concern']
p501094167,Should all russians be expelled from European countries? I think it would lead to lasting peace.,03/21/25(Fri)12:35:14No.501094167,russians expelled european countries  think would lead lasting peace ,['news_&_social_concern']
p501081505,>make a nigger slave turned sword holder a Samurai>make him have sex with Japanese royalty>make him destroy Shinto shrines>make him kill actual Samurai>make japanese people non binary>make a white man an antagonist of the gameWhy would Indians do this? What do they have against Japan?,03/21/25(Fri)09:30:35No.501081505, make nigger slave turned sword holder samurai make sex japanese royalty make destroy shinto shrines make kill actual samurai make japanese people non binary make white man antagonist gamewhy would indians  japan ,['news_&_social_concern']
p501097433,Every 27 days China opens a new nuclear power plant.,03/21/25(Fri)13:19:30No.501097433,every  days china opens new nuclear power plant ,"['news_&_social_concern', 'science_&_technology']"
p501104654,>government doesn't care how many of them will die>allies don't care>they don't careare ukranians the most hated and worthless nation in the world?,03/21/25(Fri)14:53:48No.501104654, government care many die allies care careare ukranians hated worthless nation world ,['news_&_social_concern']
p501101985,"For whoever cares to hear about it, there is massive defrauding of the taxpayers occurring at FCI Thomson in Illinois. It is a federal prison that used to be a state super max, but it got shut down after being deemed inhumane. The feds bought the vacant building and turned it into a low-security prison, and now have about 2000 inmates there. Approximately half the staff at FCI Thomson used to work at the super-max, and during that time their pay was substantially higher. Why? Because at a super-max, staff members automatically get hazard pay.So, how is the administration trying to make up for the pay reduction? Why, by putting the entire prison on lockdown continuously of course.In the feds, going on lockdown means keeping all the inmates in the 2 man cells continuously, which effectively turns the whole prison into the SHU. It has the side-effect of cutting the inmates off from any physical means of communication to the outside. And it also has the side-effect of ensuring that all the guards and staff make huge amounts of overtime whilst actually performing less work. Although their shifts become longer, all the programming and most administrative request processes become disabled. The guards at Thomson go a little bit further by only letting the kitchen staff out for a few hours during lockdowns, so the guards do not even have to take over cooking / passing out the food either (except for unlocking the small slot on the door).The general idea behind lockdowns in the feds is that they are supposed to be an extraordinary measure in response to some extreme danger. Basically, if there's a race riot or a gang war, a prison will go on lockdown. Its not supposed to be the normal status of a prison, because it will eventually make people go violent and crazy. At FCI Thomson, they spent ~3 months out of the last year on lockdown, and so far in 2025 they have spent 40 days on lockdown. We are only 3 months into the year, and this is for low-security inmates!",03/21/25(Fri)14:19:52No.501101985,whoever cares hear  massive defrauding taxpayers occurring fci thomson illinois  federal prison used state super max  got shut deemed inhumane  feds bought vacant building turned low security prison   inmates  approximately half staff fci thomson used work super max  time pay substantially higher   super max  staff members automatically get hazard pay  administration trying make pay reduction   putting entire prison lockdown continuously course feds  going lockdown means keeping inmates  man cells continuously  effectively turns whole prison shu  side effect cutting inmates physical means communication outside  also side effect ensuring guards staff make huge amounts overtime whilst actually performing less work  although shifts become longer  programming administrative request processes become disabled  guards thomson go little bit letting kitchen staff hours lockdowns  guards even take cooking   passing food either  except unlocking small slot door general idea behind lockdowns feds supposed extraordinary measure response extreme danger  basically  race riot gang war  prison go lockdown  supposed normal status prison  eventually make people go violent crazy  fci thomson  spent   months last year lockdown  far  spent  days lockdown   months year  low security inmates ,['news_&_social_concern']
p501098958,>kill all of our domestic chickens because fake pcr test said to>Have no eggs>Beg for eggs from countries that didn't test or genocide their chickens,03/21/25(Fri)13:40:04No.501098958, kill domestic chickens fake pcr test said eggs beg eggs countries test genocide chickens,"['news_&_social_concern', 'science_&_technology']"
p501104021,"how did he recast himself as the king of the libtards so sucessfully? guy has made ""Free Luigi"" his whole personality recently",03/21/25(Fri)14:46:01No.501104021,recast king libtards sucessfully  guy made  free luigi  whole personality recently,"['celebrity_&_pop_culture', 'news_&_social_concern']"
p501100875,"PRESIDENT DONALD J TRUMP @POTUS45https://www.donaldjtrump.com/https://www.thetrumparchive.com/https://x.com/realDonaldTrumphttps://truthsocial.com/@realDonaldTrumphttps://rumble.com/c/DonaldTrumphttps://www.tiktok.com/@realdonaldtrump>President Trump Officehttps://www.whitehouse.gov/https://www.youtube.com/user/whitehousehttps://www.flickr.com/photos/whitehouse/>Liz Harrington (Trump Spox) https://twitter.com/realLizUSA>Donald J Trump Presidential Libraryhttps://www.trumplibrary.gov/@realDonaldTrump @TeamTrump @TrumpWarRoom>b-but Trump hasnt done anything!ARCHIVED LINKS https://pastebin.com/eAhgNyeXNEW APPEARANCES>Pres Trump at Friends of Ireland Luncheon, Washington, DC 3/12/2025https://youtu.be/bKW1VniMRm0[Embed]>Pres Trump Bilateral Meeting with Irish Taoiseach Micheal Martin, Washington, DC 3/12/2025https://youtu.be/EwNFmsO_5xs[Embed]>Pres Trump Remarks at the Digital Assets Summit, Washington, DC 3/7/2025https://youtu.be/omP3GPxaVog[Embed]>Pres Trump Address to Congress, Washington, DC 3/4/2025https://youtu.be/XkFKNkAEzQ8[Embed]>VP JD Vance Delivers Remarks at the National Catholic Prayer Breakfast, Washington, DC 2/28/2025https://youtu.be/dCY0b1wWX9A[Embed]>Pres Trump Press Conference with UK PM Keir Starmer, Washington, DC 2/27/2025https://youtu.be/dJSaNSSj_4c[Embed]>Pres Trump Cabinet Meeting, Washington, DC 2/26/2025https://youtu.be/OMpL4Hze__4[Embed]>Pres Trump Press Conference with Emmanuel Macron, Washington, DC 2/24/2025https://youtu.be/F_icClkj0Eo[Embed]>Pres Trump at CPAC, Washington, DC 2/22/2025https://rumble.com/v6o31mi-full-speech-president-donald-j.-trump-headlines-cpac-2025-22225.html (RSBN)>Pres Trump at Governors Working Session, Washington, DC 2/22/2025https://youtu.be/4iyqZsE9bkA[Embed]>TrumpVideo: WE WILL WIN 6/19/23https://rumble.com/v2v6m2a>MAKE AMERICA GREAT AGAIN, AGAIN! 10/28/21https://rumble.com/voe8gm>God Bless the USA (Donald J Trump) 10/20/16https://youtu.be/O_PC_fy0fk0[Embed]OP pastebin: http://pastebin.com/X4KiALfhprev>>501093155 →",03/21/25(Fri)14:05:55No.501100875,president donald j trump  potushttps www donaldjtrump com https www thetrumparchive com https x com realdonaldtrumphttps truthsocial com realdonaldtrumphttps rumble com c donaldtrumphttps www tiktok com realdonaldtrump president trump officehttps www whitehouse gov https www youtube com user whitehousehttps www flickr com photos whitehouse liz harrington  trump spox  https twitter com reallizusa donald j trump presidential libraryhttps www trumplibrary gov realdonaldtrump  teamtrump  trumpwarroom b trump hasnt done anything archived links https pastebin com eahgnyexnew appearances pres trump friends ireland luncheon  washington  dc   https youtu bkwvnimrm embed pres trump bilateral meeting irish taoiseach micheal martin  washington  dc   https youtu ewnfmso xs embed pres trump remarks digital assets summit  washington  dc   https youtu ompgpxavog embed pres trump address congress  washington  dc   https youtu xkfknkaezq embed vp jd vance delivers remarks national catholic prayer breakfast  washington  dc   https youtu dcybwwxa embed pres trump press conference uk pm keir starmer  washington  dc   https youtu djsanssj c embed pres trump cabinet meeting  washington  dc   https youtu omplhze  embed pres trump press conference emmanuel macron  washington  dc   https youtu f icclkjeo embed pres trump cpac  washington  dc   https rumble com vomi full speech president donald j trump headlines cpac   html  rsbn pres trump governors working session  washington  dc   https youtu iyqzsebka embed trumpvideo  win   https rumble com vvma make america great     https rumble com voegm god bless usa  donald j trump    https youtu pc fyfk embed op pastebin  http pastebin com xkialfhprev  →,['news_&_social_concern']
p501106021,WHY does this keep HAPPENING?!?!https://www.dailymail.co.uk/news/article-14515317/Married-teacher-underage-boys-gang-bang-scream-mask-brittany-fortinberry.html,03/21/25(Fri)15:11:07No.501106021,keep happening https www dailymail co uk news article  married teacher underage boys gang bang scream mask brittany fortinberry html,['news_&_social_concern']
p501094535,You now remember this,03/21/25(Fri)12:40:39No.501094535,remember,['diaries_&_daily_life']
p501099640,America was not founded by these subhuman pagans. They don't belong here. Post jeet memes.,03/21/25(Fri)13:49:40No.501099640,america founded subhuman pagans  belong  post jeet memes ,['news_&_social_concern']
p501103530,"White aryan chad from South india hereI dont understandDo white fathers ever tell their snow bunnies to dress modestly, be fully covered, and not be promiscuous? Or is it just Western culture, since women in the East don’t engage in that cuckoldry?",03/21/25(Fri)14:39:43No.501103530,white aryan chad south india herei dont understanddo white fathers ever tell snow bunnies dress modestly  fully covered  promiscuous  western culture  since women east don’t engage cuckoldry ,"['fashion_&_style', 'news_&_social_concern']"
p501098958,>kill all of our domestic chickens because fake pcr test said to>Have no eggs>Beg for eggs from countries that didn't test or genocide their chickens,03/21/25(Fri)13:40:04No.501098958, kill domestic chickens fake pcr test said eggs beg eggs countries test genocide chickens,"['news_&_social_concern', 'science_&_technology']"
p501105110,,03/21/25(Fri)14:59:17No.501105110,,
p501102838,"Trump's full response:""Well, you know, I was given the task of releasing that, because many presidents have gone through it and they haven’t released. And I said, release. We even released Social Security numbers. I didn’t want anything deleted. They said, sir, what about Social Security? People long gone. But they’re long gone, so I can’t imagine.But I said, if you don’t delete it, if you do delete it, we have people that are going to say, why did you delete it? There’s something in there. So we gave Social Security, and we gave everything. And the rest is for you to look at, Peter. You’re going to see whether or not you see anything. But we’ve given it. We’re doing it with Dr. Martin Luther King, too. They’re preparing all of that. They’re going to release everything. and whoever else they want. I mean, you know, we have nothing. We really have nothing to hide. We shouldn’t have.You know, when a lot of time goes by. But with the Kennedy files, in particular, they were going crazy on them. I don’t think there’s anything. that’s earth-shattering, but you’ll have to make that determination. In those, you know, it’s 80,000. It’s actually 88,000. And we have some additional things, as you know, come out today. And for that, you can go to the offices and you can see whatever you want to see. Everything is out there, totally open. The additional stuff is available later on today. You go over to the offices and you can have it immediately. And you’ll make a determination.""https://www.mediaite.com/tv/trump-cant-answer-when-peter-doocy-asks-simple-question-who-killed-kennedy/It's a good thing those 80,000 JFK files were released! Promises made, promises kept!",03/21/25(Fri)14:31:12No.501102838,trump full response well  know  given task releasing  many presidents gone haven’t released  said  release  even released social security numbers  didn’t want anything deleted  said  sir  social security  people long gone  they’re long gone  can’t imagine said  don’t delete  delete  people going say  delete  there’s something  gave social security  gave everything  rest look  peter  you’re going see whether see anything  we’ve given  we’re dr  martin luther king   they’re preparing  they’re going release everything  whoever else want  mean  know  nothing  really nothing hide  shouldn’t know  lot time goes  kennedy files  particular  going crazy  don’t think there’s anything  that’s earth shattering  you’ll make determination   know  it’s    it’s actually    additional things  know  come today   go offices see whatever want see  everything  totally open  additional stuff available later today  go offices immediately  you’ll make determination https www mediaite com tv trump cant answer peter doocy asks simple question killed kennedy good thing   jfk files released  promises made  promises kept ,['news_&_social_concern']
