thread_id,thread_text,time
p501100875,"PRESIDENT DONALD J TRUMP @POTUS45https://www.donaldjtrump.com/https://www.thetrumparchive.com/https://x.com/realDonaldTrumphttps://truthsocial.com/@realDonaldTrumphttps://rumble.com/c/DonaldTrumphttps://www.tiktok.com/@realdonaldtrump>President Trump Officehttps://www.whitehouse.gov/https://www.youtube.com/user/whitehousehttps://www.flickr.com/photos/whitehouse/>Liz Harrington (Trump Spox) https://twitter.com/realLizUSA>Donald J Trump Presidential Libraryhttps://www.trumplibrary.gov/@realDonaldTrump @TeamTrump @TrumpWarRoom>b-but Trump hasnt done anything!ARCHIVED LINKS https://pastebin.com/eAhgNyeXNEW APPEARANCES>Pres Trump at Friends of Ireland Luncheon, Washington, DC 3/12/2025https://youtu.be/bKW1VniMRm0[Embed]>Pres Trump Bilateral Meeting with Irish Taoiseach Micheal Martin, Washington, DC 3/12/2025https://youtu.be/EwNFmsO_5xs[Embed]>Pres Trump Remarks at the Digital Assets Summit, Washington, DC 3/7/2025https://youtu.be/omP3GPxaVog[Embed]>Pres Trump Address to Congress, Washington, DC 3/4/2025https://youtu.be/XkFKNkAEzQ8[Embed]>VP JD Vance Delivers Remarks at the National Catholic Prayer Breakfast, Washington, DC 2/28/2025https://youtu.be/dCY0b1wWX9A[Embed]>Pres Trump Press Conference with UK PM Keir Starmer, Washington, DC 2/27/2025https://youtu.be/dJSaNSSj_4c[Embed]>Pres Trump Cabinet Meeting, Washington, DC 2/26/2025https://youtu.be/OMpL4Hze__4[Embed]>Pres Trump Press Conference with Emmanuel Macron, Washington, DC 2/24/2025https://youtu.be/F_icClkj0Eo[Embed]>Pres Trump at CPAC, Washington, DC 2/22/2025https://rumble.com/v6o31mi-full-speech-president-donald-j.-trump-headlines-cpac-2025-22225.html (RSBN)>Pres Trump at Governors Working Session, Washington, DC 2/22/2025https://youtu.be/4iyqZsE9bkA[Embed]>TrumpVideo: WE WILL WIN 6/19/23https://rumble.com/v2v6m2a>MAKE AMERICA GREAT AGAIN, AGAIN! 10/28/21https://rumble.com/voe8gm>God Bless the USA (Donald J Trump) 10/20/16https://youtu.be/O_PC_fy0fk0[Embed]OP pastebin: http://pastebin.com/X4KiALfhprev>>501093155 →",03/21/25(Fri)14:05:55No.501100875
p501104470,"Really?, look at it!!You are telling me that somebody bought this fucking shit?? Get the fuck out of here!!!",03/21/25(Fri)14:51:32No.501104470
p501099465,NEW PROPAGANDA JUST DROPPED: https://youtu.be/WQYGcBcEcEU[Embed],03/21/25(Fri)13:47:09No.501099465
p501094596,">Heathrow to resume some flights and hopes to run full operation tomorrowhttps://www.bbc.co.uk/news/live/cly24zvvwxlt>Putin would breach Ukraine deal if it is not defended, says PMhttps://www.bbc.co.uk/news/articles/cwyd0v3344qo>Government borrowing higher than expected in Februaryhttps://www.bbc.co.uk/news/articles/c0jglw54yvyo>Badenoch warns Tories of difficult local electionshttps://www.bbc.co.uk/news/articles/cvg5dpl1j4zo>Uber offers 20 hours of free childcare in bid to lure female drivershttps://www.bbc.co.uk/news/articles/cgm1pmdlvx8o",03/21/25(Fri)12:41:36No.501094596
p501106184,They don’t have enough votes to impeach them but California Rep. Darrell Issa’s No Rogue Rulings Act will be on the floor in early April. Also going to cut funding to federal courts and even break up system of lower courts and strip district judges from being allows to put nation wide injunctions. Dems might try to filibuster it but going to have to go on record and can easily be used as attacks when they are up for reelection,03/21/25(Fri)15:13:25No.501106184
p501098176,"Previous:>>501085852 →Day: 1122 — Daily battlefield assessment:https://isw.pub/UkraineConflictUpdatesISW▶Latest>Russian gas pipeline exploded in Sudzha shortly after the chimpout at Odesa, Kropotkinskaya oil pumping station continues to burn>Russians chimped out at Odesa, numerous arrivals>Engels Airbase hit by Ukraine, KH missile storage exploded>Trump claimed a ceasefire on infrastructure, Russia attacked infrastructure 2hrs later, Ukraine responds striking more refineries.>Gazprom reported losses of 1.078 trillion rubles ($12.7 billion at the current exchange rate) in 2024.>Macron: Europe is preparing for the ""day after"" in Ukraine. France & the UK are finalizing a plan to deploy ""a few thousand troops per nation"" in key areas like Kyiv, Odesa & Lviv for training & long-term support.>A Putin and Trump meeting is being prepared, says Putin's assistant Ushakov>Ukraine will not lift martial law or hold elections if a 30-day truce is declared, says advisor to the head of the Office of the President of Ukraine Mykhailo Podolyak>The EU recommends member states to voluntarily contribute €20-40B in military aid to Ukraine this year, creating a special fund.>A massive drone attack on Russia’s Tuapse happened overnight. Over 10 explosions were heard at the local Tuapse oil refinery>AFU have officially withdrawn from most of the Kursk SMO zone>The French Parliament has called for the seizure of frozen Russian assets to aid Ukraine▶Telegramhttps://rentry.org/telosint2023https://t.me/ukr_pics▶Intelhttps://t.me/DeepStateENhttps://odin.tradoc.army.mil/WEG (equipmentexplorer)https://ukr.warspotting.net (visually confirmed losses)▶Mapshttps://deepstatemap.live/enhttps://liveuamap.com/en▶DISPOSABLE SOLDIER (diary of a RU mobik)TOUR 1: files.catbox.moe/34fuhc.txtTOUR 2: files.catbox.moe/uj2wut.txtTOUR 3: files.catbox.moe/hmyd98.txtTOUR 4: files.catbox.moe/cdenxe.txt",03/21/25(Fri)13:29:43No.501098176
p501096816,Realistically what do I do? Even if I pay $1000 a month it will take me 68 months + daily compounded interest,03/21/25(Fri)13:11:22No.501096816
p501103284,WELCOME COMAC,03/21/25(Fri)14:36:54No.501103284
p501086999,Would you buy a beautiful Tesla car to support Elon Musk?,03/21/25(Fri)10:56:53No.501086999
p501102661,"Yes, we need to convince our leftists here to leave to europe, make all 50 states red, europe would love them",03/21/25(Fri)14:28:43No.501102661
p501102264,Why would the government hide UFOs? Who cares if aliens visited,03/21/25(Fri)14:23:30No.501102264
p501105773,"this 'log is unironically better than yours, 4cuck.",03/21/25(Fri)15:07:48No.501105773
p501095545,Have you thanked a leftist today for saving the country?,03/21/25(Fri)12:54:09No.501095545
p501089389,">‘The View’ Whoopi Goldberg has a MELTDOWN and says she is “enraged” by Donald Trump saying that “There is a definite anti-White feeling in the country”>“Yeah, Sir. Nobody in your family was hung. Nobody in your family was chased because of the color of their skin. How dare you? There’s no anti-white issue here. You are perpetrating anti-humanist issues here”https://youtube.com/shorts/pu_uzPQgBaY?si=ijPsAGO98TINSBG6",03/21/25(Fri)11:31:43No.501089389
p501106448,"For non-americans, would you like to have Donald Trump as your president? And yes, Elon Musk would tag along.",03/21/25(Fri)15:16:47No.501106448
p501096641,Why don't women and niggers ever try to use DEI to get jobs like this?,03/21/25(Fri)13:09:05No.501096641
p501103083,The orange retard gets rebuffed by the superior man,03/21/25(Fri)14:34:27No.501103083
p501106669,Why are Europeans refusing to fight?:/,03/21/25(Fri)15:19:50No.501106669
p501076978,"GO WOKE, GO BR...",03/21/25(Fri)08:05:40No.501076978
p501106017,"Happening! British glowniggers caught in Propaganda against US .>USAID Censorship Scheme Exposed; Global Engagement Center Worked With UK Government And Media Firms To Deploy AI Toolshttps://www.zerohedge.com/political/usaid-censorship-scheme-exposed-global-engagement-center-worked-uk-government-and-media>On Thursday, America First Legal (AFL) released explosive new documents obtained through ongoing litigation against the U.S. Department of State’s Global Engagement Center (GEC),> exposing a vast, government-backed censorship operation to silence Americans> under the guise of “misinformation,” “disinformation,” and “malinformation.”>The documents reveal a disturbing alliance between the GEC, the U.S. Agency for International Development (USAID),>the British Foreign, Commonwealth, Development Office (FCDO)",03/21/25(Fri)15:11:03No.501106017
p501101876,why work in a cubicle if russia will kill us soon,03/21/25(Fri)14:18:28No.501101876
p501096641,Why don't women and niggers ever try to use DEI to get jobs like this?,03/21/25(Fri)13:09:05No.501096641
p501101820,>White-East Asian interbreeding le bad in principle because it just is okay.,03/21/25(Fri)14:17:48No.501101820
p501096289,Poilievre is afraid...he has no policy. The conservatives have no policy; they look at the opinion polls and then try to softball pander to the polls instead of having real plans and real leadership. Poilievre caved on the vax tyranny. Poilievre is sucking Hindu ass for votes...Poilievre has never been anything more than a politician. He's never worked in the free enterprise sector...https://www.youtube.com/watch?v=Kwg3BIwpZLE[Embed],03/21/25(Fri)13:04:16No.501096289
p501101640,,03/21/25(Fri)14:15:39No.501101640
p501104766,They're afraid of fairy tales.,03/21/25(Fri)14:55:11No.501104766
p501103284,WELCOME COMAC,03/21/25(Fri)14:36:54No.501103284
p501089839,"Sorry Britbros, but coffee is so much more delicious than tea. I'm on my 10th cup for the day. Black, of course. No sugar. The only way to drink coffee.",03/21/25(Fri)11:37:42No.501089839
p501103732,Wikipedia refuses to recognize English as the official US Language,03/21/25(Fri)14:42:17No.501103732
p501099640,America was not founded by these subhuman pagans. They don't belong here. Post jeet memes.,03/21/25(Fri)13:49:40No.501099640
p501102729,">Trump is 'open to the idea' of selling F-35 jets to Turkey if the Russia-made S-400 system is made inoperable through partially disassembling, sources tell Fox Newsallahu akbar we will blow up greece with our new stealth jets. thank you orange man.",03/21/25(Fri)14:29:37No.501102729
p501101876,why work in a cubicle if russia will kill us soon,03/21/25(Fri)14:18:28No.501101876
p501096289,Poilievre is afraid...he has no policy. The conservatives have no policy; they look at the opinion polls and then try to softball pander to the polls instead of having real plans and real leadership. Poilievre caved on the vax tyranny. Poilievre is sucking Hindu ass for votes...Poilievre has never been anything more than a politician. He's never worked in the free enterprise sector...https://www.youtube.com/watch?v=Kwg3BIwpZLE[Embed],03/21/25(Fri)13:04:16No.501096289
p501099362,notice something,03/21/25(Fri)13:45:26No.501099362
p501101001,"the stock market is going down, tesla is deading, the maga leaders and running from the town halls, and judges are fucking over trump on every levelhttps://www.youtube.com/watch?v=H6XAwrnWADw&t=2425s[Embed]",03/21/25(Fri)14:07:25No.501101001
p501094167,Should all russians be expelled from European countries? I think it would lead to lasting peace.,03/21/25(Fri)12:35:14No.501094167
p501081505,>make a nigger slave turned sword holder a Samurai>make him have sex with Japanese royalty>make him destroy Shinto shrines>make him kill actual Samurai>make japanese people non binary>make a white man an antagonist of the gameWhy would Indians do this? What do they have against Japan?,03/21/25(Fri)09:30:35No.501081505
p501097433,Every 27 days China opens a new nuclear power plant.,03/21/25(Fri)13:19:30No.501097433
p501104654,>government doesn't care how many of them will die>allies don't care>they don't careare ukranians the most hated and worthless nation in the world?,03/21/25(Fri)14:53:48No.501104654
p501101985,"For whoever cares to hear about it, there is massive defrauding of the taxpayers occurring at FCI Thomson in Illinois. It is a federal prison that used to be a state super max, but it got shut down after being deemed inhumane. The feds bought the vacant building and turned it into a low-security prison, and now have about 2000 inmates there. Approximately half the staff at FCI Thomson used to work at the super-max, and during that time their pay was substantially higher. Why? Because at a super-max, staff members automatically get hazard pay.So, how is the administration trying to make up for the pay reduction? Why, by putting the entire prison on lockdown continuously of course.In the feds, going on lockdown means keeping all the inmates in the 2 man cells continuously, which effectively turns the whole prison into the SHU. It has the side-effect of cutting the inmates off from any physical means of communication to the outside. And it also has the side-effect of ensuring that all the guards and staff make huge amounts of overtime whilst actually performing less work. Although their shifts become longer, all the programming and most administrative request processes become disabled. The guards at Thomson go a little bit further by only letting the kitchen staff out for a few hours during lockdowns, so the guards do not even have to take over cooking / passing out the food either (except for unlocking the small slot on the door).The general idea behind lockdowns in the feds is that they are supposed to be an extraordinary measure in response to some extreme danger. Basically, if there's a race riot or a gang war, a prison will go on lockdown. Its not supposed to be the normal status of a prison, because it will eventually make people go violent and crazy. At FCI Thomson, they spent ~3 months out of the last year on lockdown, and so far in 2025 they have spent 40 days on lockdown. We are only 3 months into the year, and this is for low-security inmates!",03/21/25(Fri)14:19:52No.501101985
p501098958,>kill all of our domestic chickens because fake pcr test said to>Have no eggs>Beg for eggs from countries that didn't test or genocide their chickens,03/21/25(Fri)13:40:04No.501098958
p501104021,"how did he recast himself as the king of the libtards so sucessfully? guy has made ""Free Luigi"" his whole personality recently",03/21/25(Fri)14:46:01No.501104021
p501100875,"PRESIDENT DONALD J TRUMP @POTUS45https://www.donaldjtrump.com/https://www.thetrumparchive.com/https://x.com/realDonaldTrumphttps://truthsocial.com/@realDonaldTrumphttps://rumble.com/c/DonaldTrumphttps://www.tiktok.com/@realdonaldtrump>President Trump Officehttps://www.whitehouse.gov/https://www.youtube.com/user/whitehousehttps://www.flickr.com/photos/whitehouse/>Liz Harrington (Trump Spox) https://twitter.com/realLizUSA>Donald J Trump Presidential Libraryhttps://www.trumplibrary.gov/@realDonaldTrump @TeamTrump @TrumpWarRoom>b-but Trump hasnt done anything!ARCHIVED LINKS https://pastebin.com/eAhgNyeXNEW APPEARANCES>Pres Trump at Friends of Ireland Luncheon, Washington, DC 3/12/2025https://youtu.be/bKW1VniMRm0[Embed]>Pres Trump Bilateral Meeting with Irish Taoiseach Micheal Martin, Washington, DC 3/12/2025https://youtu.be/EwNFmsO_5xs[Embed]>Pres Trump Remarks at the Digital Assets Summit, Washington, DC 3/7/2025https://youtu.be/omP3GPxaVog[Embed]>Pres Trump Address to Congress, Washington, DC 3/4/2025https://youtu.be/XkFKNkAEzQ8[Embed]>VP JD Vance Delivers Remarks at the National Catholic Prayer Breakfast, Washington, DC 2/28/2025https://youtu.be/dCY0b1wWX9A[Embed]>Pres Trump Press Conference with UK PM Keir Starmer, Washington, DC 2/27/2025https://youtu.be/dJSaNSSj_4c[Embed]>Pres Trump Cabinet Meeting, Washington, DC 2/26/2025https://youtu.be/OMpL4Hze__4[Embed]>Pres Trump Press Conference with Emmanuel Macron, Washington, DC 2/24/2025https://youtu.be/F_icClkj0Eo[Embed]>Pres Trump at CPAC, Washington, DC 2/22/2025https://rumble.com/v6o31mi-full-speech-president-donald-j.-trump-headlines-cpac-2025-22225.html (RSBN)>Pres Trump at Governors Working Session, Washington, DC 2/22/2025https://youtu.be/4iyqZsE9bkA[Embed]>TrumpVideo: WE WILL WIN 6/19/23https://rumble.com/v2v6m2a>MAKE AMERICA GREAT AGAIN, AGAIN! 10/28/21https://rumble.com/voe8gm>God Bless the USA (Donald J Trump) 10/20/16https://youtu.be/O_PC_fy0fk0[Embed]OP pastebin: http://pastebin.com/X4KiALfhprev>>501093155 →",03/21/25(Fri)14:05:55No.501100875
p501106021,WHY does this keep HAPPENING?!?!https://www.dailymail.co.uk/news/article-14515317/Married-teacher-underage-boys-gang-bang-scream-mask-brittany-fortinberry.html,03/21/25(Fri)15:11:07No.501106021
p501094535,You now remember this,03/21/25(Fri)12:40:39No.501094535
p501099640,America was not founded by these subhuman pagans. They don't belong here. Post jeet memes.,03/21/25(Fri)13:49:40No.501099640
p501103530,"White aryan chad from South india hereI dont understandDo white fathers ever tell their snow bunnies to dress modestly, be fully covered, and not be promiscuous? Or is it just Western culture, since women in the East don’t engage in that cuckoldry?",03/21/25(Fri)14:39:43No.501103530
p501098958,>kill all of our domestic chickens because fake pcr test said to>Have no eggs>Beg for eggs from countries that didn't test or genocide their chickens,03/21/25(Fri)13:40:04No.501098958
p501105110,,03/21/25(Fri)14:59:17No.501105110
p501102838,"Trump's full response:""Well, you know, I was given the task of releasing that, because many presidents have gone through it and they haven’t released. And I said, release. We even released Social Security numbers. I didn’t want anything deleted. They said, sir, what about Social Security? People long gone. But they’re long gone, so I can’t imagine.But I said, if you don’t delete it, if you do delete it, we have people that are going to say, why did you delete it? There’s something in there. So we gave Social Security, and we gave everything. And the rest is for you to look at, Peter. You’re going to see whether or not you see anything. But we’ve given it. We’re doing it with Dr. Martin Luther King, too. They’re preparing all of that. They’re going to release everything. and whoever else they want. I mean, you know, we have nothing. We really have nothing to hide. We shouldn’t have.You know, when a lot of time goes by. But with the Kennedy files, in particular, they were going crazy on them. I don’t think there’s anything. that’s earth-shattering, but you’ll have to make that determination. In those, you know, it’s 80,000. It’s actually 88,000. And we have some additional things, as you know, come out today. And for that, you can go to the offices and you can see whatever you want to see. Everything is out there, totally open. The additional stuff is available later on today. You go over to the offices and you can have it immediately. And you’ll make a determination.""https://www.mediaite.com/tv/trump-cant-answer-when-peter-doocy-asks-simple-question-who-killed-kennedy/It's a good thing those 80,000 JFK files were released! Promises made, promises kept!",03/21/25(Fri)14:31:12No.501102838
p501096289,Poilievre is afraid...he has no policy. The conservatives have no policy; they look at the opinion polls and then try to softball pander to the polls instead of having real plans and real leadership. Poilievre caved on the vax tyranny. Poilievre is sucking Hindu ass for votes...Poilievre has never been anything more than a politician. He's never worked in the free enterprise sector...https://www.youtube.com/watch?v=Kwg3BIwpZLE[Embed],03/21/25(Fri)13:04:16No.501096289
p501097749,">guy investigates government agencies for wasteful spending of tax dollars>liberals: AAAAAAAAAAAHHHHHHHHHHHHH LITERAL NAZI!!!!!!!!!!!!! *rolling on the ground screaming, pissing, and shitting themselves>vandalize people's cars because they guy owns the company, call SWAT teams to the homes of his supportersthey're getting more and more unhinged and violent over the little shit every year, by the time Trump leaves office there will be a literal civil war",03/21/25(Fri)13:23:54No.501097749
p501105820,https://youtu.be/LcVn7kn0VuM[Embed]When will they learn?,03/21/25(Fri)15:08:24No.501105820
p501099049,"Uh oh.. looks like theyre turning comments off, just like biden did. Sigh.",03/21/25(Fri)13:41:07No.501099049
p501099049,"Uh oh.. looks like theyre turning comments off, just like biden did. Sigh.",03/21/25(Fri)13:41:07No.501099049
p501092555,"Protestantism is to me a sort of anti-religion. Over the course of its existence, it has shattered the cultural patrimony of Europe and denuded Christianity of all its venerable religious traditions. It led Europeans down a slippery slope that passed by Liberalism, Deism and the so-called Enlightenment and crapped us out in Nihilismland, where marxist thugs, satanists and positivist pointyheads all putt about. I can't imagine why anyone wanting to convert to Christianity would choose a protestant denomination as their first preference.",03/21/25(Fri)12:13:04No.501092555
p501096666,"Hitler wrote this 100 years ago in Mein Kampf, how the fuck can anyone still deny it when he has predicted EVERYTHING. You're literally retarded if you can't see how unlikely it would be for him to just guess and arrive at almost prophetic writing. It's the Jews.",03/21/25(Fri)13:09:25No.501096666
p501104662,tf vladdy gon do?,03/21/25(Fri)14:53:52No.501104662
p501105833,REMINDER - YOU VOTED FOR HIGH GROCERY PRICEShttps://x.com/atrupar/status/1903079341010854054,03/21/25(Fri)15:08:36No.501105833
p501105917,I find this disrespectful honestly. Does the CIA even bother trying at all anymore?,03/21/25(Fri)15:09:50No.501105917
p501092555,"Protestantism is to me a sort of anti-religion. Over the course of its existence, it has shattered the cultural patrimony of Europe and denuded Christianity of all its venerable religious traditions. It led Europeans down a slippery slope that passed by Liberalism, Deism and the so-called Enlightenment and crapped us out in Nihilismland, where marxist thugs, satanists and positivist pointyheads all putt about. I can't imagine why anyone wanting to convert to Christianity would choose a protestant denomination as their first preference.",03/21/25(Fri)12:13:04No.501092555
p501096666,"Hitler wrote this 100 years ago in Mein Kampf, how the fuck can anyone still deny it when he has predicted EVERYTHING. You're literally retarded if you can't see how unlikely it would be for him to just guess and arrive at almost prophetic writing. It's the Jews.",03/21/25(Fri)13:09:25No.501096666
p501089871,Made by boeing though so will it be bogged? Apparently it's been flying for 5 years,03/21/25(Fri)11:38:10No.501089871
p501100490,How is Trump destroying america? Name every step he is taking on this direction.,03/21/25(Fri)14:01:14No.501100490
p501080179,Who convinced the majority that shitalians are white? They’re literally brown semitic tomatokikes,03/21/25(Fri)09:05:38No.501080179
p501103671,What was the point of Assad?,03/21/25(Fri)14:41:32No.501103671
p501080933,,03/21/25(Fri)09:19:55No.501080933
p501105139,UK: The prime minster firmly believes his nation’s rape gang crisis is due to Islamophobia. If the English would just adopt Pakistani culture they would stop raping children.YOUR HATE IS TO BLAME FOR CHILDREN BEING RAPED.https://x.com/amuse/status/1903019271849959803,03/21/25(Fri)14:59:33No.501105139
p501103530,"White aryan chad from South india hereI dont understandDo white fathers ever tell their snow bunnies to dress modestly, be fully covered, and not be promiscuous? Or is it just Western culture, since women in the East don’t engage in that cuckoldry?",03/21/25(Fri)14:39:43No.501103530
p501097253,"india failed to attract factories from china, what went wrong?>https://x.com/BeijingDai/status/1903078818258329813/photo/1Reuters reported that India has abandoned its four-year, $23 billion PLI program. The sole purpose of this plan is to attract manufacturing to leave China and come to India, increasing the proportion of manufacturing in the Indian economy to 25% by 2025. However, the reality is that the proportion of manufacturing in India's GDP has decreased from 16% in 2015 to 13% now.India's GDP is still growing at a rate of around 6%, but mainly from the service industry. As long as India cannot succeed in manufacturing, its threat to China will only be verbal. The Chinese should never underestimate this threat. The Indians have fully demonstrated their hostility in the past few years. Of course, they lack the ability to realize this threat with poor manufacturing.I have always said that Modi's biggest strategic mistake is to make the Chinese greatly increase their vigilance against India. The Chinese government allowed Chinese mobile phones, such as Xiaomi and Vivo, to invest in India before 2019, and the mobile phone industry is now basically the only highlight of Indian manufacturing, but China will never make such a mistake again.https://www.reuters.com/markets/emerging/indias-23-bln-plan-rival-china-factories-lapse-after-it-disappoints-2025-03-21/Exclusive: India's $23 billion plan to rival China factories to lapse after it disappoints",03/21/25(Fri)13:16:54No.501097253
p501102658,"antifa violence, endless new waves of vandalism, and now ordering assassination-by-cop on peoplewtf else do they need to do before people step in?or are they just hoping the right will take matters into their own hands so they can blame it on them?",03/21/25(Fri)14:28:41No.501102658
p501105134,"If you want to know the Blueprint for the recent ""protests"" in Serbia, Georgia, Slovakia and Hungary, look to Poland, where the NED already financed a Color Revolution in 2023. Do you think that History does repeat itself?https://en.m.wikipedia.org/wiki/2023_Polish_protests",03/21/25(Fri)14:59:30No.501105134
p501106073,.,03/21/25(Fri)15:11:51No.501106073
p501104049,>date a woman 13 years older than you>get called a pedo,03/21/25(Fri)14:46:19No.501104049
p501104637,">Ending Federal Oversight on Civil Rights - Without the DOE enforcing anti-discrimination laws, schools would no longer be pressured to integrate or adhere to forced diversity measures. Local districts could establish their own policies that better reflect the values and demographics of their communities.>Redirecting Funding to Neighborhood Schools - Federal funding often takes money from wealthier areas and redistributes it to low-income districts. Without the DOE, tax dollars could stay within their own communities, ensuring that schools reflect the economic and cultural priorities of the families they serve.>Allowing Local Control Over Education Policy - Instead of being subject to one-size-fits-all federal mandates, states and districts could create education policies that cater to their own populations. This could lead to more traditional schooling environments where communities can uphold their own standards without outside influence.>Expanding School Choice and Private Education - Removing the DOE would likely lead to more school choice, including private schools, charter schools, and voucher programs. This would allow families to select schools that align with their values and academic expectations rather than being forced into government-mandated integration programs.>Eliminating Forced Integration Programs - Programs designed to mix student populations across racial and economic lines, such as busing or magnet schools, would no longer receive federal support. Schools would naturally reflect the composition of their neighborhoods, allowing for a more homogenous and culturally cohesive learning environment.By dismantling the DOE, education would return to local and parental control, ensuring that schools serve the interests of their own communities rather than being shaped by federal policies aimed at forced integration.",03/21/25(Fri)14:53:30No.501104637
p501105036,North Sentinel Island hate thread.Hate on these niggers.If you zoom in on pic rel you can see his TBC.,03/21/25(Fri)14:58:22No.501105036
p501101332,"Germany the supposed ""based"" AfD party>Oh my Science! We need LEGAL immigrants not ILLEGAL ones!>""We are Israel's greatest ally!"">Led by a Dyke married to a refugeePOLAND'S supposedly ""liberal"" PM>Annouced TMD (Total Migration Death)>Signed Schießbefehle (Shooting-Orders) at the Poland-Belarus Border>He is also putting mines on that border>He is re-arming the PAF(Polish Armed Forces)Why is Poland so based? Polackbros... I kneel...",03/21/25(Fri)14:11:43No.501101332
p501102188,i just learnt about chemtrails,03/21/25(Fri)14:22:28No.501102188
p501100764,,03/21/25(Fri)14:04:47No.501100764
p501103637,"She is objectively nasty, has a world class RBF, and is a TDS nut.Famously, destroyed Sarah Palin with that fish in a barrel interview.Despite this, there is barely anything negative about her found through search results on Google and Youtube. How can she not have hundreds of compilations of her being a cunt???She is also protected on Google search autocomplete...Does anyone have an explanation for the lack of negativity online? Is she a mockingbird asset?",03/21/25(Fri)14:41:06No.501103637
p501104855,"Why do americans hate mexicans so much? I can understand hating niggers, but mexicans? They are hardworking christians, literally the salt of the earth.They were the ones taking care of mowing your lawn and for cheap cleaning services and this is how you people treat them?White people charge an arm and a leg for labor work. Good luck finding affordable service.White men also overwhelmingly date latinas which means that now there will be more of them being deported.",03/21/25(Fri)14:56:16No.501104855
p501105139,UK: The prime minster firmly believes his nation’s rape gang crisis is due to Islamophobia. If the English would just adopt Pakistani culture they would stop raping children.YOUR HATE IS TO BLAME FOR CHILDREN BEING RAPED.https://x.com/amuse/status/1903019271849959803,03/21/25(Fri)14:59:33No.501105139
p501102899,">yeah bro im gonna escape and live inna woods>yeah every city will be third world, full of indians, pride flags everywhere>but i wont let that get me down because im gonna live in a cabin in the woods to escape the zog bro!>it will be so trad and based, if anyone tries to steal from me i will shoot them broi don't get it, people try and destroy your country and your plan is to flee to the woods and live as a mollusc?",03/21/25(Fri)14:32:02No.501102899
p501101889,https://www.independent.co.uk/news/world/americas/us-politics/trump-commonwealth-offer-us-member-b2719470.html,03/21/25(Fri)14:18:38No.501101889
p501101009,GENERATION ZYKLON AWAKENShttps://x.com/AFpost/status/1902892623074930912,03/21/25(Fri)14:07:29No.501101009
p501105022,"Remember when schizos hyped up the JFK files for 60 years, then they were released, and it was actually just a massive nothingburger the whole time?pepridge farm remembers",03/21/25(Fri)14:58:12No.501105022
p501100764,,03/21/25(Fri)14:04:47No.501100764
p501092016,Don't complain that women don't want to be with you if you're still acting like a fucking child in your 20s.,03/21/25(Fri)12:04:51No.501092016
p501097749,">guy investigates government agencies for wasteful spending of tax dollars>liberals: AAAAAAAAAAAHHHHHHHHHHHHH LITERAL NAZI!!!!!!!!!!!!! *rolling on the ground screaming, pissing, and shitting themselves>vandalize people's cars because they guy owns the company, call SWAT teams to the homes of his supportersthey're getting more and more unhinged and violent over the little shit every year, by the time Trump leaves office there will be a literal civil war",03/21/25(Fri)13:23:54No.501097749
p501098176,"Previous:>>501085852 →Day: 1122 — Daily battlefield assessment:https://isw.pub/UkraineConflictUpdatesISW▶Latest>Russian gas pipeline exploded in Sudzha shortly after the chimpout at Odesa, Kropotkinskaya oil pumping station continues to burn>Russians chimped out at Odesa, numerous arrivals>Engels Airbase hit by Ukraine, KH missile storage exploded>Trump claimed a ceasefire on infrastructure, Russia attacked infrastructure 2hrs later, Ukraine responds striking more refineries.>Gazprom reported losses of 1.078 trillion rubles ($12.7 billion at the current exchange rate) in 2024.>Macron: Europe is preparing for the ""day after"" in Ukraine. France & the UK are finalizing a plan to deploy ""a few thousand troops per nation"" in key areas like Kyiv, Odesa & Lviv for training & long-term support.>A Putin and Trump meeting is being prepared, says Putin's assistant Ushakov>Ukraine will not lift martial law or hold elections if a 30-day truce is declared, says advisor to the head of the Office of the President of Ukraine Mykhailo Podolyak>The EU recommends member states to voluntarily contribute €20-40B in military aid to Ukraine this year, creating a special fund.>A massive drone attack on Russia’s Tuapse happened overnight. Over 10 explosions were heard at the local Tuapse oil refinery>AFU have officially withdrawn from most of the Kursk SMO zone>The French Parliament has called for the seizure of frozen Russian assets to aid Ukraine▶Telegramhttps://rentry.org/telosint2023https://t.me/ukr_pics▶Intelhttps://t.me/DeepStateENhttps://odin.tradoc.army.mil/WEG (equipmentexplorer)https://ukr.warspotting.net (visually confirmed losses)▶Mapshttps://deepstatemap.live/enhttps://liveuamap.com/en▶DISPOSABLE SOLDIER (diary of a RU mobik)TOUR 1: files.catbox.moe/34fuhc.txtTOUR 2: files.catbox.moe/uj2wut.txtTOUR 3: files.catbox.moe/hmyd98.txtTOUR 4: files.catbox.moe/cdenxe.txt",03/21/25(Fri)13:29:43No.501098176
p501102899,">yeah bro im gonna escape and live inna woods>yeah every city will be third world, full of indians, pride flags everywhere>but i wont let that get me down because im gonna live in a cabin in the woods to escape the zog bro!>it will be so trad and based, if anyone tries to steal from me i will shoot them broi don't get it, people try and destroy your country and your plan is to flee to the woods and live as a mollusc?",03/21/25(Fri)14:32:02No.501102899
p501086999,Would you buy a beautiful Tesla car to support Elon Musk?,03/21/25(Fri)10:56:53No.501086999
p501098829,"So what happened to the ""4d chess"" of Trump strong arming Netanyahu? I thought Netanyahu was bending the knee to Drumpf?How is this ""peace through strength""?",03/21/25(Fri)13:38:12No.501098829
